Production ID,Date,Product Type,Machine ID,Shift,Units Produced,Defects,Production Time Hours,Material Cost Per Unit,Labour Cost Per Hour,Energy Consumption kWh,Operator Count,Maintenance Hours,Down time Hours,Production Volume Cubic Meters,Scrap Rate,Rework Hours,Quality Checks Failed,Average Temperature C,Average Humidity Percent
1899-12-31,2020-01-01,Automotive,3,Swing,142,3,23.42,38.68,15.38,413.97,1,4.86,1.57,2.34,0.048,1.65,1,22.8,47.2
1900-01-01,2020-01-02,Textiles,8,Night,170,4,7.51,21.35,25.36,181.16,2,2.51,0.18,1.52,0.03,,1,23.8,37.9
1900-01-02,2020-01-03,Appliances,11,Swing,182,4,20.58,47.54,16.46,452.15,2,0.34,2.88,0.57,0.026,0.26,0,24.5,56.1
1900-01-03,2020-01-04,Appliances,11,Day,133,,21.68,40.21,28.7,485.78,3,4.64,2.23,1.9,0.036,,2,22.3,50.8
1900-01-04,2020-01-05,Electronics,14,Night,82,,16.68,38.02,17.2,315.58,1,2.29,0.02,2.25,0.02,0.67,0,23.4,53.9
1900-01-05,2020-01-06,Automotive,1,Night,81,0,11.91,10.66,23.25,440.42,2,,,0.89,0.047,,2,20.6,56.9
1900-01-06,2020-01-07,Furniture,20,Swing,78,8,22.98,37.66,26.62,367.89,2,2.51,2.83,0.82,0.036,0.86,2,23.1,45.9
1900-01-07,2020-01-08,Textiles,7,Night,151,5,23.16,30.99,27.86,197.62,3,2.1,2.39,0.56,0.039,0.35,1,23.6,59.2
1900-01-08,2020-01-09,Electronics,16,Night,72,9,15.63,16.92,28.3,467.34,2,0.38,0.82,2.02,0.041,0.59,0,20.4,48.3
1900-01-09,2020-01-10,Textiles,7,Night,189,7,18.15,33.47,23.33,411.71,1,0.62,2.03,2.32,0.042,0.24,0,18.7,49.4
1900-01-10,2020-01-11,Textiles,8,Day,124,2,21.26,14.22,18.58,456.52,4,0.56,2.3,1.48,0.04,1.36,0,20,31.7
1900-01-11,2020-01-12,Automotive,1,Day,188,8,3.46,29.45,18.05,245.14,1,3.2,1.95,1.06,0.021,,0,23.5,34.4
1900-01-12,2020-01-13,Textiles,5,Swing,172,8,14,17.66,21.72,281.45,3,2.66,2.69,2.35,0.036,0.89,0,24.4,51.4
1900-01-13,2020-01-14,Textiles,5,Day,70,6,20.86,10.42,24.44,215.36,1,4.93,0.7,0.9,0.034,,2,20.1,47.9
1900-01-14,2020-01-15,Furniture,17,Night,55,1,22,24.82,27.92,234.33,4,2.17,,1.35,0.047,1.31,2,24.6,59.1
1900-01-15,2020-01-16,Automotive,3,Night,136,6,23.99,24.74,22.55,204.39,4,0.8,,2.31,0.04,,0,21.4,41.2
1900-01-16,2020-01-17,Furniture,20,Swing,152,4,17.86,30.65,25.52,390.9,1,1.41,2.9,2.48,0.032,0.36,2,25,54.6
1900-01-17,2020-01-18,Electronics,13,Swing,120,5,5.81,48.47,25.35,251.57,1,4.01,2.05,1.03,0.047,1.4,2,22.2,52
1900-01-18,2020-01-19,Appliances,10,Day,158,8,15.59,13.18,16.77,392.66,2,4.12,1.3,2.4,0.044,0.93,2,19.1,35.6
1900-01-19,2020-01-20,Textiles,8,Swing,85,2,23.76,18.96,27.23,369.77,4,0.59,0.35,1.46,0.022,1.39,0,23.2,35.6
1900-01-20,2020-01-21,Automotive,4,Night,64,2,14.51,28.02,21.45,322.07,1,4.93,1.91,1.77,0.047,0.9,1,20.4,35.3
1900-01-21,2020-01-22,Appliances,10,Swing,58,2,9.87,23.97,15.85,368.7,1,1.76,2.87,2.02,0.029,0.33,1,22.1,41.3
1900-01-22,2020-01-23,Textiles,8,Day,96,8,7.24,32.58,23.54,321.45,3,1.79,1,1.24,0.021,1.18,1,19.8,34.2
1900-01-23,2020-01-24,Textiles,6,Day,135,2,9.03,42.16,28.61,387.81,3,1.42,1.97,2.17,0.017,1.77,0,23.1,56
1900-01-24,2020-01-25,Appliances,9,Night,188,5,17.93,26.73,26.39,230.6,2,3.84,2.36,2.35,0.037,1.58,0,18.6,50.1
1900-01-25,2020-01-26,Electronics,14,Swing,66,3,5.84,22.37,16.8,412.53,1,,2.63,2.02,0.036,,2,21.9,54.6
1900-01-26,2020-01-27,Furniture,19,Swing,122,9,15.74,19.12,27,219.41,1,3.57,2.3,0.73,0.034,1.69,1,18.7,31.6
1900-01-27,2020-01-28,Furniture,19,Day,83,4,15.42,41.52,15.68,491.62,1,0.47,1.24,0.61,0.043,0.07,1,24.4,51.7
1900-01-28,2020-01-29,Appliances,12,Swing,95,3,7.07,13.7,23.63,254.49,2,3.86,,1.1,0.049,1.54,0,19.1,42.3
1900-01-29,2020-01-30,Automotive,3,Swing,132,2,12.6,29.43,16.73,105.2,1,3.89,1.77,2.05,0.015,1.4,1,20.6,53
1900-01-30,2020-01-31,Electronics,15,Swing,143,6,20.93,24.93,24.03,286.19,3,3.25,1.66,2.22,0.043,,1,19.7,49
1900-01-31,2020-02-01,Electronics,14,Night,79,9,19.29,35.31,17.29,482.31,4,0.96,1.27,1.32,0.039,0.28,1,23,39.6
1900-02-01,2020-02-02,Appliances,11,Swing,189,7,14.48,60,28.41,353.47,4,2.5,1.9,0.75,0.028,0.02,0,18.5,58.4
1900-02-02,2020-02-03,Appliances,12,Day,149,0,16.35,23.87,24.78,140.89,4,0.16,0.13,1.99,0.024,,0,19.4,45.1
1900-02-03,2020-02-04,Furniture,17,Swing,56,4,1.81,14.23,21.59,143.2,4,1.28,2.73,2.18,0.035,0.62,0,22.5,43.2
1900-02-04,2020-02-05,Automotive,3,Night,167,9,3.05,15.45,28.61,279.58,2,3.36,0.91,0.72,0.039,1.18,0,19.6,47.3
1900-02-05,2020-02-06,Furniture,19,Day,115,6,9.62,37.25,17.59,190.21,3,1.81,0.37,1.35,0.03,0.66,0,22.9,42.1
1900-02-06,2020-02-07,Appliances,12,Day,198,1,9.82,29.72,28.17,341.84,3,0.8,0.59,1.78,0.02,,1,19.2,31.3
1900-02-07,2020-02-08,Appliances,9,Night,140,5,7.85,41.54,16.7,473.59,1,0.54,1.79,2.01,0.039,1.91,0,22.6,51.2
1900-02-08,2020-02-09,Electronics,14,Night,50,2,15.96,47.01,26.58,486.39,4,,2.33,2.4,0.015,1.31,2,21.3,48
1900-02-09,2020-02-10,Automotive,4,Swing,127,0,14.96,36.99,17.14,468.49,1,1.41,0.47,0.9,0.018,0.65,2,18.2,41.5
1900-02-10,2020-02-11,Appliances,9,Night,98,9,16.74,46.48,17.31,218.47,4,4.82,2.04,2.32,0.034,1.16,1,22.3,46.6
1900-02-11,2020-02-12,Electronics,13,Night,136,0,6.31,11.1,27.92,490.66,1,3.69,0.45,2.2,0.028,1.1,0,21.6,38.6
1900-02-12,2020-02-13,Furniture,19,Swing,101,9,1.06,31.5,21.72,223.19,4,1.77,,1.51,0.034,1.61,2,20.2,45.2
1900-02-13,2020-02-14,Furniture,18,Day,117,,23.25,20.68,18.82,350.41,2,1.72,2.07,1.68,0.042,1.5,2,23.6,55.2
1900-02-14,2020-02-15,Electronics,14,Swing,110,9,18.77,17.87,24.88,456.22,3,0.71,2.58,1.9,0.042,0.42,0,21,33
1900-02-15,2020-02-16,Textiles,8,Night,187,8,11.51,21.21,27.92,363.48,3,3.58,2,2.29,0.033,0.99,2,21.8,46.5
1900-02-16,2020-02-17,Furniture,20,Night,59,9,2.01,42.78,21.23,498.63,4,2.47,,1.61,0.045,0.72,1,24.7,54.6
1900-02-17,2020-02-18,Textiles,7,Day,135,,5.58,35.2,19.29,239.71,2,4.12,2.53,0.94,0.023,0.4,2,22.7,55.5
1900-02-18,2020-02-19,Electronics,15,Day,100,7,2.22,41.08,19.15,147.78,3,1.38,1.96,1.35,0.031,1.65,0,18.3,30
1900-02-19,2020-02-20,Automotive,3,Swing,126,3,11.98,29.99,25.24,188.12,3,1.7,0.63,1.16,0.036,0.09,2,23.8,40.2
1900-02-20,2020-02-21,Appliances,9,Day,88,,5.99,20.69,25.6,173.65,1,2.39,2.82,2.4,0.028,0.46,1,19.2,48.9
1900-02-21,2020-02-22,Furniture,18,Day,143,4,13.39,28.73,28.7,461.44,1,3.53,2.64,0.7,0.047,1.69,2,22.7,46.7
1900-02-22,2020-02-23,Appliances,11,Night,62,2,2.43,18.59,15.32,286.34,1,4.31,1.27,1.43,0.049,,1,24,45.8
1900-02-23,2020-02-24,Textiles,5,Day,91,3,17.35,49.66,17.06,306.31,1,4.77,1.77,2.48,0.01,0.87,2,24.2,31.1
1900-02-24,2020-02-25,Furniture,19,Swing,75,9,3.32,40.92,23.84,169.19,1,0.24,2.01,1.51,0.043,0.47,2,19.1,41
1900-02-25,2020-02-26,Automotive,4,Swing,108,4,8.12,12.5,19.41,185.71,3,4.23,2.53,1.37,0.05,0.68,2,21.3,48.3
1900-02-26,2020-02-27,Automotive,3,Night,152,,15.84,49.92,21.75,419.84,2,0.63,1.07,1.83,0.045,1.44,0,21.1,38.9
1900-02-27,2020-02-28,Automotive,1,Night,76,9,3.47,15.99,28.91,373.15,3,4.91,2.03,0.95,0.045,1.43,0,21.3,36.2
1900-02-28,2020-02-29,Automotive,4,Night,106,4,23.51,36.33,16.45,231.71,2,0.22,2.13,2.19,0.045,0.65,0,18.8,54.7
1900-03-01,2020-03-01,Appliances,11,Night,181,3,5.4,25.17,24.72,418.19,4,1.56,1.11,1.45,0.013,,1,22.8,49.6
1900-03-02,2020-03-02,Appliances,10,Night,101,3,1.83,31.75,27.06,121.48,3,,1.27,1.33,0.017,1.49,1,22.2,57
1900-03-03,2020-03-03,Textiles,5,Day,148,8,16.38,38.57,16.81,128.27,4,1.24,1.27,1.35,0.024,,0,23.5,53
1900-03-04,2020-03-04,Appliances,11,Swing,88,,9.78,22.09,24.7,135.4,2,4.28,1.22,1.87,0.018,1.5,0,24.5,32.2
1900-03-05,2020-03-05,Textiles,5,Swing,178,,23.25,14.09,27.47,381.39,1,4.17,1.62,1.81,0.031,0.18,0,20.4,46.6
1900-03-06,2020-03-06,Appliances,9,Day,65,5,3.01,36.28,18.1,338.35,2,1.32,0.14,1.52,0.02,0.8,2,22.9,37.9
1900-03-07,2020-03-07,Textiles,8,Swing,94,1,9.17,11.02,17.02,444.71,3,2.52,,1.69,0.016,1.45,0,21.8,59.2
1900-03-08,2020-03-08,Electronics,13,Day,71,8,14.65,19,15.98,487.45,3,0.38,0.92,2.23,0.018,0.65,1,24.6,45
1900-03-09,2020-03-09,Automotive,3,Night,172,3,13.52,10.35,25.93,236.41,2,0.68,1.62,2.11,0.04,0.19,1,23.5,49.9
1900-03-10,2020-03-10,Furniture,18,Day,127,2,12.23,39.41,21.21,351.51,2,1.8,0.86,1.54,0.017,0.33,2,19.5,30.3
1900-03-11,2020-03-11,Appliances,12,Swing,180,8,9.83,45.3,22.49,448.17,2,4.53,2.81,2.36,0.03,1.19,1,20.1,48.9
1900-03-12,2020-03-12,Automotive,2,Day,87,,20.2,22.99,16.48,193.28,2,,2.92,1.42,0.046,1.99,0,21.5,31.3
1900-03-13,2020-03-13,Appliances,9,Day,51,,4.18,22.59,16.74,138.24,3,,2.94,1.12,0.032,,0,19.6,40
1900-03-14,2020-03-14,Textiles,7,Night,170,2,12.53,13.9,25.11,493.13,4,4.76,1.31,0.82,0.018,0.76,0,20.8,34.4
1900-03-15,2020-03-15,Appliances,10,Swing,103,1,14.17,11.7,21.19,459.79,1,3.89,1.82,0.95,0.027,0.38,2,21.5,44.1
1900-03-16,2020-03-16,Automotive,1,Night,157,8,21.35,19.43,27.61,344.01,1,4.97,,1.85,0.038,1.46,0,24.6,56.6
1900-03-17,2020-03-17,Automotive,4,Night,122,7,7.5,44.38,26.81,104.12,4,2.3,,1.65,0.031,1.71,2,18.5,48.7
1900-03-18,2020-03-18,Appliances,12,Swing,91,4,7.3,34.08,26.78,190.48,1,0.97,1.15,0.76,0.041,1.76,2,23.7,37.1
1900-03-19,2020-03-19,Furniture,17,Swing,91,,19.63,10.45,27.91,378.27,2,2.12,0.92,1.46,0.014,0.52,2,21.3,48.8
1900-03-20,2020-03-20,Furniture,20,Swing,69,0,7.37,34.38,27.71,244,2,2.12,1.46,0.81,0.024,1.04,0,24.2,47.7
1900-03-21,2020-03-21,Electronics,14,Night,70,5,2.24,12.02,23.15,327.55,2,3.88,2.39,1.31,0.016,0.3,0,18.3,45.8
1900-03-22,2020-03-22,Electronics,15,Swing,183,9,13.01,26.74,19.31,122.24,2,1.33,1.88,0.99,0.047,,2,21.9,38.2
1900-03-23,2020-03-23,Electronics,15,Swing,142,0,18.46,47.38,23.44,319.46,3,2.65,0.35,1.48,0.019,0.26,0,22.5,42.7
1900-03-24,2020-03-24,Textiles,6,Swing,71,9,4.53,35.1,18.55,157.43,2,,0.61,2.23,0.042,1.65,0,24.5,42.5
1900-03-25,2020-03-25,Furniture,20,Night,148,,18.53,34.48,17.88,142.2,3,2.27,0.4,1.1,0.018,0.99,1,21.9,36.9
1900-03-26,2020-03-26,Electronics,13,Swing,136,7,9.15,36.98,22.59,295.71,3,0.5,0.65,2.45,0.046,0.51,0,23.8,50.9
1900-03-27,2020-03-27,Furniture,20,Night,78,4,22.82,15.56,24.34,305.27,4,2.82,0.09,1.5,0.014,1.99,0,24.8,54.2
1900-03-28,2020-03-28,Appliances,11,Swing,89,,3,13.73,21.76,460.33,2,3.17,2.65,0.85,0.022,0.65,2,20.2,37.9
1900-03-29,2020-03-29,Appliances,12,Swing,169,6,8.25,24.9,27.09,495.44,1,0.24,2.53,1.83,0.015,1.07,2,25,57.3
1900-03-30,2020-03-30,Appliances,10,Swing,76,8,5.83,17.58,23.76,143.47,3,0.65,1.67,2.23,0.023,1.19,1,19.2,54
1900-03-31,2020-03-31,Automotive,1,Swing,192,1,21.63,10.93,29.67,226.29,1,0.35,2.31,1.46,0.031,0.38,1,22.8,55.4
1900-04-01,2020-04-01,Furniture,19,Night,148,1,7.42,23.61,17.55,394.34,1,1.02,3,2.28,0.049,0.38,2,22.6,53.5
1900-04-02,2020-04-02,Appliances,11,Night,140,0,7.11,29.89,19.68,363.02,3,0.35,1.75,2.04,0.023,1.91,2,18.9,58.8
1900-04-03,2020-04-03,Electronics,16,Day,189,6,17.21,12.01,16.06,132.35,4,2.07,1.84,0.73,0.02,0.99,1,18.6,34.4
1900-04-04,2020-04-04,Appliances,12,Swing,159,6,22.83,48.88,22.49,123.51,4,1.29,,2.21,0.036,0.61,2,22.2,32.6
1900-04-05,2020-04-05,Furniture,20,Swing,90,3,14.58,40.61,15.75,265.9,3,3.7,1.59,0.73,0.023,0.3,2,20.9,56.5
1900-04-06,2020-04-06,Textiles,8,Day,121,4,22.66,39.51,24.77,298.71,4,4.65,0.15,1.27,0.023,0.08,1,18.6,44.5
1900-04-07,2020-04-07,Appliances,11,Swing,147,5,16.13,45.21,18.75,328.92,3,2.64,1.04,2.36,0.048,1.88,1,23.3,39
1900-04-08,2020-04-08,Automotive,1,Night,149,9,5.53,33.61,26.33,355.43,2,1.79,2.15,1.04,0.019,0.47,0,18.7,57.5
1900-04-09,2020-04-09,Automotive,1,Swing,164,6,18.12,27.53,15.6,292.76,2,2.79,2.11,0.52,0.015,0.92,2,23.7,41.8
1900-04-10,2020-04-10,Furniture,17,Day,130,6,7.82,29.38,20.05,387.21,1,0.73,2.98,1.35,0.046,0.07,0,18.7,34
1900-04-11,2020-04-11,Furniture,18,Day,74,,8.1,17.88,28.97,146.86,4,4.03,,2.38,0.035,1.59,1,23,32.9
1900-04-12,2020-04-12,Electronics,13,Swing,159,4,19.6,60,16.03,396.75,3,,0.22,1.35,0.036,0.57,2,24.1,45.7
1900-04-13,2020-04-13,Electronics,16,Swing,194,8,6.95,41.91,28.13,347.7,2,0.13,2.86,0.71,0.038,1.91,0,24,30.5
1900-04-14,2020-04-14,Automotive,3,Swing,158,5,8.66,30.09,19.96,103.71,1,2.49,0.09,1.34,0.026,1.63,1,23.2,58.5
1900-04-15,2020-04-15,Appliances,11,Day,189,9,23.71,17.34,15.57,288.64,3,3.11,1.93,2.47,0.031,,2,19.3,33.3
